Year,harvested,planted,production,yield
1954,290.0,330.0,3400.0,11.7
1955,280.0,320.0,6800.0,24.3
1956,170.0,210.0,3700.0,21.8
1957,140.0,160.0,3000.0,21.4
1958,100.0,130.0,2100.0,21.0
1959,100.0,120.0,2100.0,21.0
1960,90.0,120.0,2000.0,22.2
1961,100.0,110.0,2000.0,20.0
1962,100.0,130.0,3000.0,30.0
1963,70.0,170.0,3000.0,42.9
1964,70.0,160.0,2000.0,28.6
1965,60.0,130.0,3000.0,50.0
1966,60.0,150.0,2000.0,33.3
1967,80.0,160.0,5000.0,62.5
1968,90.0,160.0,4000.0,44.4
1969,60.0,60.0,3000.0,50.0
1970,60.0,60.0,2000.0,33.3
1971,50.0,70.0,2000.0,40.0
